ID,lat,lon
44601,40.73974248,-74.2331169
4769,40.74074656,-74.2050781
45258,40.74101793,-74.2347187
4774,40.74107636,-74.2049517
43692,40.74134849,-74.2294111
4770,40.74081252,-74.2050528
44847,40.74142443,-74.2328697
4773,40.74101041,-74.204977
4772,40.74094445,-74.2050023
4771,40.74087848,-74.2050275
44646,40.73957326,-74.2317323
43885,40.74249406,-74.2299177
44848,40.74148868,-74.232833
4777,40.74127428,-74.2048753
3490,40.73963312,-74.2012394
45202,40.74196191,-74.2339758
3497,40.73949832,-74.2016458
3498,40.73956363,-74.2016151
44002,40.73976742,-74.230013
44647,40.73954532,-74.2316498
43714,40.74209603,-74.2287505
3525,40.73915709,-74.1984435
43712,40.74196443,-74.2288006
45370,40.74088952,-74.235988
43879,40.74289016,-74.229767
43688,40.74167823,-74.2292855
43883,40.74262614,-74.2298676
14797,40.78295811,-74.1709927
44674,40.74190607,-74.231015
14847,40.78335802,-74.1697707
14798,40.78316343,-74.1704852
14806,40.7823195,-74.1709767
3473,40.73969119,-74.2026831
14830,40.78167465,-74.1703028
45365,40.74128974,-74.235639
44648,40.73951738,-74.2315673
14408,40.78091667,-74.1710858
44663,40.73943418,-74.2322117
14409,40.78106273,-74.1710097
45173,40.74246196,-74.2333814
14607,40.78133548,-74.172499
45309,40.74038803,-74.2347845
3470,40.73959501,-74.2023061
14573,40.78034583,-74.1723949
45169,40.74270539,-74.2332162
3469,40.73957199,-74.2022022
14561,40.78088578,-74.1717242
44005,40.73969059,-74.229667
3468,40.73954896,-74.2020982
14397,40.78139065,-74.1709349
4759,40.74019067,-74.2049906
14609,40.78108392,-74.1726305
4758,40.7401676,-74.2048867
14562,40.78075691,-74.1717915
45372,40.74077514,-74.2360875
4760,40.74021376,-74.2050945
14563,40.78062817,-74.1718589
45171,40.7425834,-74.2332986
4761,40.74023683,-74.2051984
14576,40.78073226,-74.1721929
43683,40.74210672,-74.2291223
4762,40.74025989,-74.2053023
14560,40.78101462,-74.1716569
44012,40.74028137,-74.2294422
3471,40.73960747,-74.202418
14610,40.78095496,-74.1726979
43720,40.74262336,-74.2285495
14580,40.78118278,-74.1719575
43682,40.74217252,-74.2290972
3507,40.73955659,-74.2006621
14559,40.7811432,-74.1715897
45373,40.74071803,-74.2361373
3522,40.73936917,-74.1984877
14611,40.78082641,-74.172765
14564,40.78049978,-74.1719258
4779,40.74142653,-74.2048431
14606,40.78147054,-74.1724285
43675,40.7426332,-74.2289218
3529,40.73889352,-74.1985485
14575,40.78060379,-74.1722601
43681,40.74223832,-74.2290722
14605,40.78159887,-74.1723615
43676,40.74256737,-74.2289469
3519,40.73909196,-74.200455
14581,40.7813108,-74.1718907
43677,40.74250155,-74.2289719
14574,40.78047581,-74.1723269
43679,40.74236994,-74.2290221
43678,40.74243574,-74.228997
14790,40.78206187,-74.1714025
43995,40.74035767,-74.2297885
14809,40.78201123,-74.1712344
14585,40.78155276,-74.1714732
44684,40.74120905,-74.2314205
14556,40.78150175,-74.1713056
44616,40.73922212,-74.2325844
14829,40.78194425,-74.1701624
14399,40.78123882,-74.170433
14584,40.78160348,-74.1716411
3531,40.73871433,-74.1986153
14582,40.78143825,-74.1718241
44671,40.74209329,-74.2309059
14848,40.78181715,-74.1702286
44749,40.74180711,-74.2320596
14604,40.78176493,-74.1721782
14616,40.78181595,-74.1723457
44797,40.74291964,-74.231853
14808,40.78196086,-74.1710662
14398,40.78128973,-74.1706004
14807,40.78217641,-74.1710509
3504,40.7392669,-74.200771
14789,40.78211263,-74.17157
4743,40.74124335,-74.2045272
14583,40.78165418,-74.1718089
44770,40.74043577,-74.2324625
14838,40.78242781,-74.1702986
44868,40.74360099,-74.2317192
3518,40.73923072,-74.2004001
14834,40.78201478,-74.170514
14571,40.78002682,-74.1724641
44692,40.74058794,-74.2317825
45242,40.74075389,-74.234536
14411,40.78133984,-74.170767
45238,40.74099759,-74.2343702
14405,40.78052965,-74.1708992
14608,40.78120655,-74.1725664
45244,40.74063158,-74.2346182
14796,40.78278276,-74.1711236
44851,40.74167891,-74.2327236
14577,40.78085132,-74.1721306
43674,40.7426989,-74.2288972
14404,40.78064569,-74.1708387
14403,40.78075519,-74.1707816
14402,40.78086449,-74.1707246
44680,40.74146554,-74.231271
14401,40.78097355,-74.1706677
45243,40.74069268,-74.234577
14400,40.78108237,-74.170611
44000,40.73989872,-74.2299636
14558,40.78126122,-74.171528
44861,40.74243088,-74.2322865
14579,40.7810655,-74.1720188
44852,40.74174181,-74.2326869
14578,40.78095918,-74.1720744
44849,40.74155263,-74.2327976
14568,40.78012884,-74.1721196
34591,40.74774251,-74.1824601
14410,40.78118645,-74.1709453
44649,40.73949027,-74.2314851
34589,40.74767292,-74.1822796
14794,40.78257262,-74.171233
44679,40.74152819,-74.2312349
34590,40.74770798,-74.1823697
14793,40.78247028,-74.1712864
34603,40.74869225,-74.1819319
14795,40.78267493,-74.1711796
34595,40.74800217,-74.1823786
14791,40.78226569,-74.1713931
34592,40.74778596,-74.1825508
14792,40.782368,-74.1713399
44867,40.74366576,-74.2316906
44853,40.74180411,-74.2326502
34586,40.74787727,-74.182057
44764,40.7406298,-74.2327787
34602,40.74861953,-74.181978
45234,40.74177338,-74.2345695
34585,40.74795106,-74.1820098
34580,40.74842422,-74.1817028
44794,40.74232247,-74.2313614
